,Itemmo,type,fname,calories,moisture,protein,crudefat,saturatedfat,carbonhydrates,fiber,sugar,lactose,minerals,vitamina,vitamine,vitaminb,vitaminc,cholesterol
0,A001,穀物類,糙米,354,13.1,8.2,2.5,0.6,75.1,4.0,0.5,0.0,0.6073,0.0,0.00254,0.02823,0.0,0.0
1,A002,穀物類,白飯,182,55.6,3.1,0.3,0.1,41.0,0.6,0.0,0.0,0.08990000000000001,0.0,4e-05,0.00962,0.0009,0.0
2,A003,穀物類,燕麥,388,10.0,10.9,10.2,1.9,67.4,8.5,0.0,0.0,0.7278,0.0,0.00369,0.0627,0.0119,0.0
3,A004,澱粉類,芋頭,123,68.9,2.5,1.1,0.0,26.4,2.3,0.0,0.0,0.6291,2.01e-05,0.0,0.01448,0.0088,0.0
4,A005,澱粉類,蕃薯,115,70.0,1.3,0.2,0.1,27.8,2.5,4.8,0.0,0.4395,3.48e-05,0.0005,0.01551,0.0198,0.0
5,A006,穀物類,玉米,97,75.7,3.3,2.5,0.7,17.8,4.7,7.0,0.0,0.3931,5.4e-05,0.00075,0.02887,0.0054,0.0
6,A007,澱粉類,馬鈴薯,74,80.5,2.6,0.2,0.0,15.8,1.3,0.0,0.0,0.4527,0.0,2e-05,0.01308,0.0295,0.0
7,A008,穀物類,薏仁,375,11.5,14.1,6.1,0.9,66.2,1.8,0.0,0.0,0.7377,0.0,0.0028599999999999997,0.10308,0.001,0.0
8,A009,澱粉類,山藥,84,78.0,2.9,0.1,0.0,18.1,1.3,0.0,0.0,0.6286,0.0,0.0004,0.00863,0.0053,0.0
9,A010,加工調理食品及其他類,豆腐,87,81.2,8.5,3.4,1.0,6.0,0.6,0.0,0.0,0.4688,0.0,0.00277,0.03539,0.0,0.0
10,A011,魚貝類,鮭魚,221,66.1,20.2,14.9,4.0,0.0,0.0,0.1,0.0,0.6387999999999999,2.0399999999999998e-05,0.0027400000000000002,0.02016,0.0021000000000000003,0.067
11,A012,魚貝類,鱸魚,76,79.8,17.7,0.1,0.0,1.0,0.0,0.0,0.0,0.723,6e-06,0.0007099999999999999,0.00172,0.0,0.042
12,A013,魚貝類,鯖魚,375,49.3,14.9,34.5,8.5,0.4,0.0,0.0,0.0,0.4658,0.00012539999999999999,0.0010400000000000001,0.016059999999999998,0.0,0.072
13,A014,魚貝類,石斑魚,90,79.6,20.2,0.5,0.2,0.0,0.0,0.0,0.0,0.5905,2.7e-06,0.00037,0.01213,0.0012,0.055
14,A015,魚貝類,鯛魚,110,75.5,20.6,2.5,0.9,0.2,0.0,0.0,0.0,0.711,7.8e-06,0.00038,0.01094,0.0006,0.06
15,A016,魚貝類,虱目魚,179,67.4,21.8,9.5,3.3,0.2,0.0,0.0,0.0,0.6404,4.41e-05,0.00111,0.013179999999999999,0.001,0.059
16,A017,魚貝類,蝦,264,28.7,57.1,2.2,0.7,0.0,0.0,0.0,0.0,5.8765,1.71e-05,0.00108,0.008320000000000001,0.0,0.645
17,A018,魚貝類,蟹,122,67.1,20.9,3.6,1.8,6.5,0.0,0.0,0.0,0.9469,1.29e-05,0.0059900000000000005,0.01686,0.0,0.296
18,A019,蛋類,蛋,134,75.9,12.5,8.8,3.0,1.8,0.0,0.2,0.0,0.5192,0.00016439999999999998,0.00181,0.06837,0.0006,0.386
19,A020,肉類,雞,248,65.0,16.1,19.9,5.2,0.0,0.0,0.0,0.0,0.3517,9.09e-05,0.00049,0.01092,0.0146,0.074
20,A021,肉類,雞胸,219,68.4,19.3,15.1,4.5,0.0,0.0,0.0,0.0,0.5437000000000001,7.62e-05,0.00033,0.02135,0.001,0.08
21,A022,肉類,雞腿,157,72.4,16.8,9.5,2.9,0.6,0.0,0.0,0.0,0.5255,3.2699999999999995e-05,0.00369,0.0127,0.003,0.088
22,A023,肉類,雞翅,229,66.1,18.1,16.8,4.7,0.0,0.0,0.0,0.0,0.3322,4.9199999999999997e-05,0.00049,0.01507,0.0015,0.115
23,A024,肉類,豬,207,66.7,18.9,14.0,5.5,0.0,0.0,0.0,0.0,0.5666,1.3199999999999999e-05,0.00078,0.00874,0.0007,0.07
24,A025,肉類,豬絞肉,212,67.3,18.7,14.6,5.4,0.0,0.0,0.0,0.0,0.6144,2.13e-05,0.00041,0.01013,0.0013,0.062
25,A026,肉類,牛,120,72.9,22.3,2.8,1.3,0.9,0.0,0.0,0.0,0.7166,0.0,0.01025,0.0228,0.0,0.064
26,A027,肉類,羊,198,70.6,17.8,13.5,6.3,0.0,0.0,0.0,0.0,0.591,4.8e-06,0.00023,0.017839999999999998,0.0005,0.064
27,A028,乳品類,鮮乳,63,87.9,3.0,3.6,2.5,4.8,0.0,4.4,4.4,0.3785,4.29e-05,8e-05,0.00165,0.0004,0.013
28,A029,乳品類,低脂乳,43,90.0,3.1,1.3,0.9,5.0,0.0,6.1,6.1,0.3598,1.8299999999999998e-05,2.9999999999999997e-05,0.00155,0.0004,0.007
29,A030,乳品類,牛乳,73,85.8,3.2,4.0,2.7,6.1,0.0,5.0,5.0,0.4046,4.4999999999999996e-05,7.000000000000001e-05,0.00101,0.0001,0.015
30,A031,乳品類,優格,90,80.6,4.1,3.2,2.1,11.3,0.0,11.2,3.7,0.4015,1.95e-05,0.0,0.013609999999999999,0.0002,0.011
31,A032,乳品類,乳酪,309,47.2,18.3,23.7,17.5,5.9,0.0,1.7,1.6,2.7308000000000003,0.0003213,0.0009,0.01014,0.0003,0.078
32,A033,水果類,酪梨,80,84.8,1.4,6.8,2.0,6.3,2.9,0.3,0.0,0.4175,3.0299999999999998e-05,0.0017900000000000001,0.00252,0.012,0.0
33,A034,蔬菜類,菠菜,14,93.7,2.2,0.3,0.1,2.4,1.9,0.0,0.0,0.7436,0.0018489,0.0014199999999999998,0.07354999999999999,0.0121,0.0
34,A035,蔬菜類,高麗菜,21,93.2,1.3,0.1,0.0,4.8,1.1,2.7,0.0,0.2877,1.56e-05,0.00023999999999999998,0.02036,0.037200000000000004,0.0
35,A036,蔬菜類,白菜,8,96.3,1.0,0.1,0.0,1.8,1.0,0.0,0.0,0.4,0.00010559999999999999,0.00098,0.00088,0.0211,0.0
36,A037,蔬菜類,花椰菜,19,93.0,1.8,0.1,0.0,4.5,2.0,2.5,0.0,0.3539,2.7e-06,0.00017999999999999998,0.06222,0.062200000000000005,0.0
37,A038,蔬菜類,空心菜,18,93.1,2.2,0.3,0.0,3.5,2.1,0.0,0.0,0.4814,0.0070596,0.0,0.00064,0.078,0.0
