Itemmo,type,fname,calories,moisture,protein,crudefat,saturatedfat,carbonhydrates,fiber,sugar,lactose,minerals,vitamina,vitamine,vitaminb,vitaminc,cholesterol
A001,穀物類,糙粳米平均值,354,13.1,8.2,2.5,0.6,75.1,4.0,0.5,0.0,607.3,0,2.54,28.23,0.0,
A002,穀物類,白飯,182,55.6,3.1,0.3,0.1,41.0,0.6,,,89.9,0,0.04,9.62,0.9,
A003,穀物類,燕麥,388,10.0,10.9,10.2,1.9,67.4,8.5,,,727.8,0,3.69,62.70,11.9,
A004,澱粉類,芋頭,123,68.9,2.5,1.1,,26.4,2.3,,,629.1,67,,14.48,8.8,
A005,澱粉類,黃肉甘薯,115,70.0,1.3,0.2,0.1,27.8,2.5,4.8,0.0,439.5,116,0.50,15.51,19.8,
A006,穀物類,甜玉米,97,75.7,3.3,2.5,0.7,17.8,4.7,7.0,0.0,393.1,180,0.75,28.87,5.4,
A007,澱粉類,馬鈴薯,74,80.5,2.6,0.2,,15.8,1.3,,,452.7,0,0.02,13.08,29.5,
A008,穀物類,薏仁,375,11.5,14.1,6.1,0.9,66.2,1.8,,,737.7,0,2.86,103.08,1.0,
A009,澱粉類,山藥平均值,84,78.0,2.9,0.1,,18.1,1.3,,,628.6,0,0.40,8.63,5.3,
A010,加工調理食品及其他類,傳統豆腐,87,81.2,8.5,3.4,1.0,6.0,0.6,,,468.8,0,2.77,35.39,0.0,
A011,魚貝類,大西洋鮭魚平均值(去皮),221,66.1,20.2,14.9,4.0,0.0,,0.1,0.0,638.8,68,2.74,20.16,2.1,67
A012,魚貝類,白鱸,76,79.8,17.7,0.1,0.0,1.0,,,,723,20,0.71,1.72,0.0,42
A013,魚貝類,鯖魚(煮),375,49.3,14.9,34.5,8.5,0.4,,,,465.8,418,1.04,16.06,0.0,72
A014,魚貝類,斑帶石斑魚,90,79.6,20.2,0.5,0.2,0.0,0.0,0.0,,590.5,9,0.37,12.13,1.2,55
A015,魚貝類,真鯛平均值(去皮),110,75.5,20.6,2.5,0.9,0.2,0.0,0.0,0.0,711,26,0.38,10.94,0.6,60
A016,魚貝類,虱目魚平均值(去皮),179,67.4,21.8,9.5,3.3,0.2,,,,640.4,147,1.11,13.18,1.0,59
A017,魚貝類,蝦米,264,28.7,57.1,2.2,0.7,0.0,,,,5876.5,57,1.08,8.32,,645
A018,魚貝類,紅蟳,122,67.1,20.9,3.6,1.8,6.5,,,,946.9,43,5.99,16.86,0.0,296
A019,蛋類,雞蛋平均值,134,75.9,12.5,8.8,3.0,1.8,,0.2,0.0,519.2,548,1.81,68.37,0.6,386
A020,肉類,肉雞,248,65.0,16.1,19.9,5.2,0.0,,,,351.7,303,0.49,10.92,14.6,74
A021,肉類,帶骨帶皮對切胸(肉雞),219,68.4,19.3,15.1,4.5,0.0,,,,543.7,254,0.33,21.35,1.0,80
A022,肉類,棒棒腿(肉雞),157,72.4,16.8,9.5,2.9,0.6,,,,525.5,109,3.69,12.70,3.0,88
A023,肉類,二節翅平均值,229,66.1,18.1,16.8,4.7,0.0,,,,332.2,164,0.49,15.07,1.5,115
A024,肉類,豬上肩肉,207,66.7,18.9,14.0,5.5,0.0,,0.0,0.0,566.6,44,0.78,8.74,0.7,70
A025,肉類,豬絞肉平均值,212,67.3,18.7,14.6,5.4,0.0,,0.0,0.0,614.4,71,0.41,10.13,1.3,62
A026,肉類,牛修清前胸肉,120,72.9,22.3,2.8,1.3,0.9,,,,716.6,0,10.25,22.80,0.0,64
A027,肉類,去骨肩頸眼羊肉,198,70.6,17.8,13.5,6.3,0.0,,0.0,0.0,591,16,0.23,17.84,0.5,64
A028,乳品類,全脂鮮乳平均值,63,87.9,3.0,3.6,2.5,4.8,,4.4,4.4,378.5,143,0.08,1.65,0.4,13
A029,乳品類,低脂鮮乳,43,90.0,3.1,1.3,0.9,5.0,,6.1,6.1,359.8,61,0.03,1.55,0.4,7
A030,乳品類,高脂鮮乳,73,85.8,3.2,4.0,2.7,6.1,,5.0,5.0,404.6,150,0.07,1.01,0.1,15
A031,乳品類,全脂濃稠發酵乳,90,80.6,4.1,3.2,2.1,11.3,,11.2,3.7,401.5,65,0.00,13.61,0.2,11
